iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
GNQ,2003,960,608201
GTM,2003,24305,10733408
GUF,2003,1267,983596
GUY,2003,4216,2813459
HND,2003,8856,4807068
HTI,2003,14,6536
IDN,2003,248436,253722418
IND,2003,10846,5795654
JAM,2003,152,84089
KEN,2003,1568,974204
KHM,2003,24054,13130518
KNA,2003,5,1972
LAO,2003,20471,12068239
LBR,2003,4821,2398859
LCA,2003,2,1091
LKA,2003,991,370862
MAF,2003,2,969
MDG,2003,15333,8306926
MDV,2003,1,33
MEX,2003,17925,7584870
MMR,2003,13768,8449243
MOZ,2003,92,40543
MSR,2003,0,209
MTQ,2003,7,3410
MWI,2003,10,5093
MYS,2003,60416,52411610
NGA,2003,1830,669384
NIC,2003,5124,2894800
NPL,2003,285,184485
PAN,2003,1575,942507
PER,2003,43733,28671568
PHL,2003,4275,2907470
PLW,2003,3,2585
PNG,2003,15366,13238996
PRI,2003,83,45920
PRY,2003,74444,24681820
RWA,2003,29,17363
SEN,2003,0,51
SLB,2003,1276,1019352
SLE,2003,176,84658
SLV,2003,10,5430
SSD,2003,48,28483
SUR,2003,2243,1704820
SXM,2003,0,41
TCA,2003,2,309
TGO,2003,2,450
THA,2003,4246,2540924
TTO,2003,50,27475
TWN,2003,65,37909
TZA,2003,727,369419
UGA,2003,1521,894352
USA,2003,9,3862
VCT,2003,1,231
VEN,2003,20775,11901179
VGB,2003,0,180
VIR,2003,1,387
VNM,2003,9522,5488845
VUT,2003,330,188306
ZAF,2003,327,179969
ZMB,2003,133,62950
ZWE,2003,9,4842
AGO,2004,2355,1342137
ARG,2004,28084,10353152
AUS,2004,0,212
BDI,2004,3,1616
BES,2004,0,26
BGD,2004,348,184478
BHS,2004,5,986
BLZ,2004,2103,945985
BOL,2004,96611,50806544
BRA,2004,2016477,1228168921
BRN,2004,585,452587
BTN,2004,337,221243
CAF,2004,4096,2690935
CHN,2004,3422,1895264
CIV,2004,11229,4784603
CMR,2004,9049,5606554
COD,2004,123521,82204253
COG,2004,4996,2971110
COL,2004,81695,49575613
CRI,2004,603,355816
CUB,2004,652,251657
CYM,2004,2,520
DMA,2004,22,12683
DOM,2004,1066,470862
ECU,2004,5436,3719016
ETH,2004,2730,1562680
FJI,2004,231,132025
GAB,2004,5699,3580093
GHA,2004,1583,719725
GIN,2004,553,252354
GLP,2004,9,4709
GNB,2004,76,22908
GNQ,2004,211,127930
GTM,2004,17270,8178575
GUF,2004,3269,2541209
GUY,2004,2630,1800710
HND,2004,7115,3847161
HTI,2004,53,28224
IDN,2004,479153,494207768
IND,2004,19166,10523087
JAM,2004,980,512502
KEN,2004,2974,1698228
KHM,2004,44063,24884984
KNA,2004,4,2118
LAO,2004,17947,10562462
LBR,2004,1782,883660
LCA,2004,7,3573
LKA,2004,467,184507
MAF,2004,1,387
MDG,2004,20283,11029565
MDV,2004,1,107
MEX,2004,18119,7996795
MMR,2004,23286,14146979
MOZ,2004,185,78697
MSR,2004,3,1895
MTQ,2004,13,7375
MWI,2004,6,2975
MYS,2004,113422,98096317
NGA,2004,3055,1103639
NIC,2004,3183,1797210
NPL,2004,175,103737
PAN,2004,2478,1506716
PER,2004,62035,40604619
PHL,2004,7078,4856674
PLW,2004,7,5855
PNG,2004,25103,21306953
PRI,2004,59,32504
PRY,2004,65085,24704032
RWA,2004,7,4482
SEN,2004,0,33
SLB,2004,2201,1775490
SLE,2004,235,105150
SLV,2004,78,48716
SSD,2004,81,47926
SUR,2004,2814,2186990
SXM,2004,0,93
TCA,2004,2,401
TGO,2004,0,20
THA,2004,8034,4825090
TTO,2004,152,81853
TWN,2004,388,234745
TZA,2004,724,343541
UGA,2004,1587,935945
USA,2004,32,13335
VCT,2004,2,1169
VEN,2004,15924,8886786
VGB,2004,1,361
VIR,2004,7,2714
VNM,2004,21113,12532452
VUT,2004,110,62562
ZAF,2004,430,226990
ZMB,2004,432,204151
ZWE,2004,21,11571
AGO,2005,3110,1767540
ARG,2005,31424,11424936
AUS,2005,1,240
BDI,2005,15,8632
BEN,2005,0,73
BGD,2005,306,173774
BHS,2005,3,290
BLZ,2005,3208,1527636
BOL,2005,137831,73832178
BRA,2005,1824425,1159220419
BRN,2005,603,453309
BTN,2005,316,210003
CAF,2005,5466,3531577
CHN,2005,3076,1746371
CIV,2005,6007,2390163
CMR,2005,11079,6938205
COD,2005,149894,100163255
COG,2005,8608,5251907
COL,2005,58906,36167766
CRI,2005,868,492149
CUB,2005,1024,351715
CYM,2005,2,984
DMA,2005,13,7732
DOM,2005,4977,1900238
ECU,2005,6205,4505719
ETH,2005,2302,1255531
FJI,2005,153,85546
GAB,2005,10816,6771266
GHA,2005,3406,1545223
GIN,2005,271,119430
GLP,2005,7,3671
GNB,2005,76,19066
GNQ,2005,900,556155
GTM,2005,33388,15234268
GUF,2005,2028,1570828
GUY,2005,3579,2470850
HND,2005,14158,7843773
HTI,2005,37,17583
IDN,2005,478406,499871303
IND,2005,15148,8308673
JAM,2005,3164,1717109
KEN,2005,1703,986610
KHM,2005,35969,20874680
KNA,2005,5,2276
LAO,2005,21601,12822482
LBR,2005,2168,1041157
LCA,2005,6,3334
LKA,2005,547,218122
MAF,2005,1,393
MDG,2005,22517,12074422
MDV,2005,0,0
MEX,2005,23058,10129948
MMR,2005,23421,14474204
MOZ,2005,279,132460
MSR,2005,10,5719
MTQ,2005,7,4208
MWI,2005,6,2931
MYS,2005,114496,99908351
NGA,2005,1922,760600
NIC,2005,11310,6495264
NPL,2005,235,151672
PAN,2005,2336,1435455
PER,2005,97399,63832612
PHL,2005,6333,4255317
PLW,2005,16,12940
