"iso","umd_tree_cover_extent_2000__ha","area__ha"
"SEN",39568.36253797181024727,19688982.71259524697059841
"SGP",18784.23099652318014644,69703.69605878168060065
"SJM",0.0,5442472.3736774287084
"SLB",2741617.78668098480503769,2853324.00584824005404331
"SLE",5617878.28584868219374256,7260135.88614730794219293
"SLV",988823.30823611788865986,2042272.85894925365359953
"SMR",829.5404327158809827,6122.352960187078976
"SOM",87128.07478370857680273,63353849.52120272767211378
"SPM",5454.07197222312136397,22663.41677143620788113
"SRB",2730300.36042796351714364,7823140.49142850912829526
"SSD",11386560.10479218132238663,62809870.69840359920622473
"STP",14213.57470684864175404,100217.9877254075333102
"SUR",13949809.56768363238092873,14642556.86529199959476109
"SVK",2397197.26600279373867788,4909915.804720863906931257
"SVN",1293520.687201159530201702,1998090.785493050928881574
"SWE",27883714.002104243742723699,45004558.106550707861705535
"SWZ",469227.38864805523044580,1738333.06301435208548845
"SXM",1022.17978238478378491,3801.38751521779961728
"SYC",6209.6246193926556553,20267.93208728904960801
"SYR",105939.86933258889150874,18691798.39213461331016632
"TCA",10851.31188484849775177,99152.01584845889868909
"TCD",409749.29467147892893030,126995174.50108194039263566
"TGO",558803.51325534288675679,5699519.20201720947008360
"THA",19962441.08856450782984321,51405448.59427814390058986
"TJK",60256.648494326554021434,14211295.40572039950589891
"TKM",10176.93568905963255622,48959209.55421509129515859
"TLS",726234.45140169621997333,1491565.39233698643307673
"TTO",391844.28193397917356845,515899.59454435700508051
"TUN",223827.61987847658322858,15486458.270952980621862824
"TUR",10060827.80563345491523259,78070340.890012309113105476
"TUV",0.0,49.9008349886126798
"TWN",2342180.54739477662548137,3640651.39732426600309950
"TZA",26406465.77483950594664727,94057690.73100542528388769
"UGA",7764958.85456224763128735,24143952.93930264444685997
"UKR",11133284.652451890864898671,60136109.708216190776830394
"UMI",145.89811682776058,541.679762804993470
"URY",1697322.42308114086106785,17746574.34434806498098598
"USA",279376627.649933865599784496,947295610.248249480445701118
"UZB",106176.257291829644299145,44755388.10019704096023965
"VAT",4.8384818514691833,52.878039684036315584
"VCT",29110.61416116655564025,39788.97162862913433967
"VEN",56533524.97090062954462898,91249225.52623289906033533
"VGB",7463.88088378357145227,16932.04449944601696200
"VIR",18997.90728331073528835,36213.91572681770172770
"VNM",16551332.11341402213173550,32927599.94752533733092529
"VUT",1181152.06497089846383099,1231886.10315650580322797
"XAD",455.93756603192616161,23448.38132255770661943
"XCA",141764.268407912519652965,37158133.71155788782257469
"XCL",0.0,1008.639098371928953
"XKO",370224.383966766947627930,1091976.447945865854132835
"XNC",12307.27552925232938780,331406.91415758248590513
"XPI",0.0,1969.2127161159836097
"XSP",0.0,188.15293746538872091
"YEM",126.1637233351827994,45220898.29137350383350431
"ZAF",5983115.28501284589596651,121971018.80353351759635350
"ZMB",24050819.11173266598545767,75049201.88692661402283831
"ZWE",1414326.42467239164481542,39068111.13498229602865918
